DATE,PRICE
2023- 02- 05,2.418
2023- 01- 29,2.41
2023- 01- 22,3.109
2023- 01- 15,3.174
2023- 01- 08,3.419
2023- 01- 01,3.71
2022- 12- 25,4.475
2022- 12- 18,5.079
2022- 12- 11,6.6
2022- 12- 04,6.245
2022- 11- 27,6.281
2022- 11- 20,7.024
2022- 11- 13,6.303
2022- 11- 06,5.879
2022- 10- 30,6.4
2022- 10- 23,5.684
2022- 10- 16,4.959
2022- 10- 09,6.453
2022- 10- 02,6.748
2022- 09- 25,6.766
2022- 09- 18,6.828
2022- 09- 11,7.764
2022- 09- 04,7.996
2022- 08- 28,8.786
2022- 08- 21,9.296
2022- 08- 14,9.336
2022- 08- 07,8.768
2022- 07- 31,8.064
2022- 07- 24,8.229
2022- 07- 17,8.299
2022- 07- 10,7.016
2022- 07- 03,6.034
2022- 06- 26,5.73
2022- 06- 19,6.22
2022- 06- 12,6.944
2022- 06- 05,8.85
2022- 05- 29,8.523
2022- 05- 22,8.727
2022- 05- 15,8.083
2022- 05- 08,7.663
2022- 05- 01,8.043
2022- 04- 24,7.244
2022- 04- 17,6.534
2022- 04- 10,7.3
2022- 04- 03,6.278
2022- 03- 27,5.72
2022- 03- 20,5.571
2022- 03- 13,4.863
2022- 03- 06,4.725
2022- 02- 27,5.016
2022- 02- 20,4.47
2022- 02- 13,4.431
2022- 02- 06,3.941
