DATE,PRICE
2023- 02- 05,760.8
2023- 01- 29,756.75
2023- 01- 22,750
2023- 01- 15,741.5
2023- 01- 08,743.75
2023- 01- 01,743.5
2022- 12- 25,792
2022- 12- 18,776
2022- 12- 11,753.5
2022- 12- 04,734.25
2022- 11- 27,761
2022- 11- 20,775.5
2022- 11- 13,803.25
2022- 11- 06,813.75
2022- 10- 30,847.75
2022- 10- 23,829.25
2022- 10- 16,850.75
2022- 10- 09,859.75
2022- 10- 02,880.25
2022- 09- 25,921.5
2022- 09- 18,880.5
2022- 09- 11,859.75
2022- 09- 04,869.5
2022- 08- 28,811
2022- 08- 21,784.75
2022- 08- 14,753.25
2022- 08- 07,806
2022- 07- 31,775.75
2022- 07- 24,807.75
2022- 07- 17,759
2022- 07- 10,794
2022- 07- 03,891.5
2022- 06- 26,846
2022- 06- 19,923.75
2022- 06- 12,1034.25
2022- 06- 05,1070.75
2022- 05- 29,1040
2022- 05- 22,1157.5
2022- 05- 15,1168.75
2022- 05- 08,1177.5
2022- 05- 01,1109.5
2022- 04- 24,1055.25
2022- 04- 17,1065.5
2022- 04- 10,1096.5
2022- 04- 03,1051.5
2022- 03- 27,984.5
2022- 03- 20,1102.25
2022- 03- 13,1063.75
2022- 03- 06,1090
2022- 02- 27,1348
2022- 02- 20,843
2022- 02- 13,797
2022- 02- 06,797.75
